# Eclipse JDT formatter option inventory — the complete `org.eclipse.jdt.core.formatter.*` id set.
#
# Extracted from org.eclipse.jdt.core @ master:
#   formatter/org/eclipse/jdt/core/formatter/DefaultCodeFormatterConstants.java   (the ids)
#   formatter/org/eclipse/jdt/internal/formatter/DefaultCodeFormatterOptions.java (value kinds)
#
# Columns: id <TAB> value-kind <TAB> status
#   value-kind: insert | bool | int | alignment | brace | one-line | paren | tab-char |
#               text-block-indent | string
#   status:     live   = written back by DefaultCodeFormatterOptions.getMap()
#               legacy = deprecated id still honored on read, fanned out into finer settings
#
# `import::eclipse`'s coverage test asserts every row here is captured by the model.
insert_space_before_comma_in_explicitconstructorcall_arguments	insert	live
insert_space_before_comma_in_for_increments	insert	live
insert_space_before_comma_in_for_inits	insert	live
insert_space_before_comma_in_method_declaration_parameters	insert	live
insert_space_before_comma_in_method_declaration_throws	insert	live
insert_space_before_comma_in_method_invocation_arguments	insert	live
insert_space_before_comma_in_multiple_field_declarations	insert	live
insert_space_before_comma_in_multiple_local_declarations	insert	live
insert_space_before_comma_in_parameterized_type_reference	insert	live
insert_space_before_comma_in_permitted_types	insert	live
insert_space_before_comma_in_record_components	insert	live
insert_space_before_comma_in_superinterfaces	insert	live
insert_space_before_comma_in_switch_case_expressions	insert	live
insert_space_before_comma_in_type_arguments	insert	live
insert_space_before_comma_in_type_parameters	insert	live
insert_space_before_ellipsis	insert	live
insert_space_before_lambda_arrow	insert	live
insert_space_before_logical_operator	insert	live
insert_space_before_multiplicative_operator	insert	live
insert_space_before_opening_angle_bracket_in_parameterized_type_reference	insert	live
insert_space_before_opening_angle_bracket_in_type_arguments	insert	live
insert_space_before_opening_angle_bracket_in_type_parameters	insert	live
insert_space_before_opening_brace_in_annotation_type_declaration	insert	live
insert_space_before_opening_brace_in_anonymous_type_declaration	insert	live
insert_space_before_opening_brace_in_array_initializer	insert	live
insert_space_before_opening_brace_in_block	insert	live
insert_space_before_opening_brace_in_constructor_declaration	insert	live
insert_space_before_opening_brace_in_enum_constant	insert	live
insert_space_before_opening_brace_in_enum_declaration	insert	live
insert_space_before_opening_brace_in_method_declaration	insert	live
insert_space_before_opening_brace_in_record_constructor	insert	live
insert_space_before_opening_brace_in_record_declaration	insert	live
insert_space_before_opening_brace_in_switch	insert	live
insert_space_before_opening_brace_in_type_declaration	insert	live
insert_space_before_opening_bracket_in_array_allocation_expression	insert	live
insert_space_before_opening_bracket_in_array_reference	insert	live
insert_space_before_opening_bracket_in_array_type_reference	insert	live
insert_space_before_opening_paren_in_annotation	insert	live
insert_space_before_opening_paren_in_annotation_type_member_declaration	insert	live
insert_space_before_opening_paren_in_catch	insert	live
insert_space_before_opening_paren_in_constructor_declaration	insert	live
insert_space_before_opening_paren_in_enum_constant	insert	live
insert_space_before_opening_paren_in_for	insert	live
insert_space_before_opening_paren_in_if	insert	live
insert_space_before_opening_paren_in_method_declaration	insert	live
insert_space_before_opening_paren_in_method_invocation	insert	live
insert_space_before_opening_paren_in_parenthesized_expression	insert	live
insert_space_before_opening_paren_in_record_declaration	insert	live
insert_space_before_opening_paren_in_switch	insert	live
insert_space_before_opening_paren_in_synchronized	insert	live
insert_space_before_opening_paren_in_try	insert	live
insert_space_before_opening_paren_in_while	insert	live
insert_space_before_parenthesized_expression_in_return	insert	live
insert_space_before_parenthesized_expression_in_throw	insert	live
insert_space_before_postfix_operator	insert	live
insert_space_before_prefix_operator	insert	live
insert_space_before_question_in_conditional	insert	live
insert_space_before_question_in_wildcard	insert	live
insert_space_before_relational_operator	insert	live
insert_space_before_semicolon	insert	live
insert_space_before_semicolon_in_for	insert	live
insert_space_before_semicolon_in_try_resources	insert	live
insert_space_before_shift_operator	insert	live
insert_space_before_string_concatenation	insert	live
insert_space_before_unary_operator	insert	live
insert_space_between_brackets_in_array_type_reference	insert	live
insert_space_between_empty_braces_in_array_initializer	insert	live
insert_space_between_empty_brackets_in_array_allocation_expression	insert	live
insert_space_between_empty_parens_in_annotation_type_member_declaration	insert	live
insert_space_between_empty_parens_in_constructor_declaration	insert	live
insert_space_between_empty_parens_in_enum_constant	insert	live
insert_space_between_empty_parens_in_method_declaration	insert	live
insert_space_between_empty_parens_in_method_invocation	insert	live
join_line_comments	bool	live
join_lines_in_comments	bool	live
join_wrapped_lines	bool	live
keep_annotation_declaration_on_one_line	one-line	live
keep_anonymous_type_declaration_on_one_line	one-line	live
keep_code_block_on_one_line	one-line	live
keep_else_statement_on_same_line	bool	live
keep_empty_array_initializer_on_one_line	bool	live
keep_enum_constant_declaration_on_one_line	one-line	live
keep_enum_declaration_on_one_line	one-line	live
keep_if_then_body_block_on_one_line	one-line	live
keep_imple_if_on_one_line	bool	live
keep_lambda_body_block_on_one_line	one-line	live
keep_loop_body_block_on_one_line	one-line	live
keep_method_body_on_one_line	one-line	live
keep_record_constructor_on_one_line	one-line	live
keep_record_declaration_on_one_line	one-line	live
keep_simple_do_while_body_on_same_line	bool	live
keep_simple_for_body_on_same_line	bool	live
keep_simple_getter_setter_on_one_line	bool	live
keep_simple_while_body_on_same_line	bool	live
keep_switch_body_block_on_one_line	one-line	live
keep_switch_case_with_arrow_on_one_line	one-line	live
keep_then_statement_on_same_line	bool	live
keep_type_declaration_on_one_line	one-line	live
lineSplit	int	live
never_indent_block_comments_on_first_column	bool	live
never_indent_line_comments_on_first_column	bool	live
number_of_blank_lines_after_code_block	int	live
